species,latlong,lat,lon,,Allometry,ecological_cline,Allometry_scaled
M_assamensis,23.01,97.19,23.01,97.19,-9.251743384,0.254727044,84499.5495416
M_cyclopis,23.91,121.04,23.91,121.04,2.093778927,-1.392773882,343422.4665801
M_fascicularis,4.13,111.24,4.13,111.24,10.50798218,0.067177504,535448.0067978
M_fuscata,35.88,135.51,35.88,135.51,-10.76344966,-0.813450644,50000.0009129
M_maura,-4.98,119.9,-4.98,119.9,-0.87862383,-0.296088399,275587.4942132
M_mulatta,25.07,96.67,25.07,96.67,9.008678072,-2.368781089,501231.4954262
M_nemestrina,3.04,108.07,3.04,108.07,-9.420751507,3.84456092,80642.5145801
M_nigra,1.01,124.26,1.01,124.26,-0.263514152,2.839240873,289625.2782623
M_radiata,14.59,77.06,14.59,77.06,3.925560746,-0.943297718,385226.6496713
M_silenus,13.19,76.12,13.19,76.12,3.208547077,-0.563348985,368863.2539946
M_sinica,7.87,80.78,7.87,80.78,11.14562355,-0.417604839,550000
M_sylvanus,34.21,-0.62,34.21,-0.62,-3.306113144,-1.162544029,220188.3158385
